종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"011810","STX","KOSPI",,"5630","-40","-0.71","5700","5820","5600","39311","223621610","111062458260","19726902"
"077970","STX엔진","KOSPI",,"7160","90","1.27","7100","7280","6910","37484","266203390","164743752640","23008904"
"071970","STX중공업","KOSPI",,"3875","190","5.16","3570","3955","3570","442329","1697270550","109918157000","28365976"
"289080","SV인베스트먼트","KOSDAQ","벤처기업부","4880","45","0.93","4735","4880","4735","721835","3459279960","259781920000","53234000"
"084870","TBH글로벌","KOSPI",,"1745","-5","-0.29","1745","1745","1715","36143","62556195","36395149155","20856819"
"002710","TCC스틸","KOSPI",,"4680","5","0.11","4665","4850","4600","446151","2099368735","107640000000","23000000"
"089230","THE E&M","KOSDAQ","중견기업부","1120","10","0.90","1110","1160","1090","2856350","3229360815","187994188480","167851954"
"161570","THE MIDONG","KOSDAQ","중견기업부","1880","40","2.17","1815","1885","1800","57760","106755995","29295720400","15582830"
"032540","TJ미디어","KOSDAQ","중견기업부","4050","-20","-0.49","4290","4290","4000","59463","244866515","56423016450","13931609"
"048770","TPC","KOSDAQ","중견기업부","4320","25","0.58","4230","4350","4205","44495","190306335","58296870720","13494646"
"246690","TS인베스트먼트","KOSDAQ","벤처기업부","4510","-145","-3.11","4585","4670","4470","2283696","10371497910","109703648340","24324534"
"317240","TS트릴리온","KOSDAQ","벤처기업부","1535","-20","-1.29","1570","1570","1520","193062","296325205","77447674385","50454511"
"038340","UCI","KOSDAQ","관리종목(소속부없음)","755","17","2.30","745","859","739","1639127","1290424645","28235012085","37397367"
"073570","WI","KOSDAQ","중견기업부","1590","0","0.00","1555","1605","1550","822879","1305091995","123769358760","77842364"
"024070","WISCOM","KOSPI",,"3655","-5","-0.14","3610","3680","3540","74426","269517145","56018130890","15326438"
"052300","W홀딩컴퍼니","KOSDAQ","중견기업부","323","4","1.25","314","323","314","2911493","928266820","75071044039","232418093"
"057030","YBM넷","KOSDAQ","중견기업부","7030","30","0.43","6930","7060","6870","144813","1009479130","114678259910","16312697"
"037270","YG PLUS","KOSPI",,"6040","-60","-0.98","6030","6100","6010","417550","2525476120","382936604000","63400100"
"040300","YTN","KOSDAQ","중견기업부","4120","0","0.00","4065","4180","4065","71745","295510870","173040000000","42000000"
"051390","YW","KOSDAQ","중견기업부","4800","160","3.45","4545","4810","4545","89622","424754090","54505766400","11355368"
"052220","iMBC","KOSDAQ","중견기업부","4580","-220","-4.58","4740","4970","4450","3707737","17384507095","105340000000","23000000"
"079940","가비아","KOSDAQ","우량기업부","15550","0","0.00","15200","15750","15200","47433","735683150","210479886200","13535684"
"078890","가온미디어","KOSDAQ","우량기업부","12100","-100","-0.82","11900","12400","11750","465205","5649809600","185332989600","15316776"
"000500","가온전선","KOSPI",,"21950","250","1.15","21400","21950","21400","7843","170334450","91319616650","4160347"
"192410","감마누","KOSDAQ","중견기업부","3435","-20","-0.58","3420","3545","3390","477084","1650979770","97183284495","28292077"
"000860","강남제비스코","KOSPI",,"24550","350","1.45","23850","24800","23600","19124","465514800","159575000000","6500000"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","7030","20","0.29","6890","7070","6860","81555","569428620","174742361980","24856666"
"114190","강원","KOSDAQ","관리종목(소속부없음)","2500","0","0.00","0","0","0","0","0","45387277500","18154911"
"035250","강원랜드","KOSPI",,"26500","-250","-0.93","26450","26800","26200","949359","25209604150","5669423250000","213940500"
"094480","갤럭시아머니트리","KOSDAQ","우량기업부","6330","-260","-3.95","6500","6530","6230","2192107","13933698880","248324874540","39229838"
"011420","갤럭시아에스엠","KOSPI",,"1620","-15","-0.92","1635","1660","1615","133722","217628555","44630423280","27549644"
"063080","게임빌","KOSDAQ","우량기업부","44000","2500","6.02","41600","44250","41500","144127","6219855500","290188448000","6595192"
