종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"007700","F&F","KOSPI",,"150000","-1500","-0.99","151500","152500","148000","34798","5223106500","2310000000000","15400000"
"130500","GH신소재","KOSDAQ","중견기업부","6550","-90","-1.36","7090","7090","6500","199870","1339351000","72050000000","11000000"
"114090","GKL","KOSPI",,"17300","150","0.87","17100","17300","17000","405527","6957662050","1070103091000","61855670"
"900290","GRT","KOSDAQ","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"078930","GS","KOSPI",,"40100","-450","-1.11","40450","40500","39850","209921","8407581550","3725906657800","92915378"
"083450","GST","KOSDAQ","우량기업부","21600","-50","-0.23","21550","22000","21000","277280","5971654600","201263292000","9317745"
"006360","GS건설","KOSPI",,"40750","-100","-0.24","41000","41050","39850","795811","32163158950","3475489871250","85288095"
"001250","GS글로벌","KOSPI",,"2385","15","0.63","2375","2410","2345","556456","1324800260","196843027140","82533764"
"007070","GS리테일","KOSPI",,"38550","100","0.26","38450","38750","38200","261111","10048436800","2968350000000","77000000"
"078935","GS우","KOSPI",,"32000","0","0.00","32100","32100","31900","4955","158467300","57114432000","1784826"
"028150","GS홈쇼핑","KOSDAQ","우량기업부","150000","300","0.20","149000","150400","147900","16557","2469282100","984375000000","6562500"
"045890","GV","KOSDAQ","투자주의환기종목(소속부없음)","326","-4","-1.21","303","327","302","6507465","2050761953","28285776962","86766187"
"078150","HB테크놀러지","KOSDAQ","우량기업부","2920","115","4.10","2790","2950","2780","5239109","15163523105","230652043920","78990426"
"012630","HDC","KOSPI",,"11100","0","0.00","11150","11200","10950","180115","1988698000","663133103100","59741721"
"039570","HDC아이콘트롤스","KOSPI",,"10050","-100","-0.99","10150","10150","10000","18425","185480350","165423000000","16460000"
"089470","HDC현대EP","KOSPI",,"6240","20","0.32","6220","6330","6150","100796","629286150","199056000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"28350","-300","-1.05","28750","28750","28050","272093","7694382500","1868472805500","65907330"
"011200","HMM","KOSPI",,"22400","100","0.45","22500","22800","21950","5826891","130218699700","7409083091200","330762638"
"036640","HRS","KOSDAQ","중견기업부","5780","90","1.58","5710","5870","5580","180894","1029050660","94530744000","16354800"
"082740","HSD엔진","KOSPI",,"7680","-20","-0.26","7700","7730","7480","662070","5001223620","311803560960","40599422"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)","2170","0","0.00","2155","2170","2145","339","730460","6770400000","3120000"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)","2095","5","0.24","2090","2095","2090","1001","2092095","10831150000","5170000"
"351320","IBKS제14호스팩","KOSDAQ","SPAC(소속부없음)","2100","5","0.24","2100","2100","2100","1","2100","9093000000","4330000"
"373200","IBKS제15호스팩","KOSDAQ","SPAC(소속부없음)","2080","10","0.48","2075","2080","2065","4992","10346235","7321600000","3520000"
"003560","IHQ","KOSPI",,"2120","100","4.95","2020","2150","1990","5004655","10444977175","310019785760","146235748"
"095340","ISC","KOSDAQ","우량기업부","21000","-150","-0.71","21400","21400","20350","222561","4610004350","340709208000","16224248"
"099520","ITX-AI","KOSDAQ","벤처기업부","2600","-50","-1.89","2625","2680","2560","213663","553535140","76184375800","29301683"
"175330","JB금융지주","KOSPI",,"6400","30","0.47","6400","6400","6320","403319","2558940710","1260690521600","196982894"
"950170","JTC","KOSDAQ","외국기업(소속부없음)","5700","-150","-2.56","5850","5860","5540","291152","1656450420","199531446900","35005517"
"234080","JW생명과학","KOSPI",,"20650","100","0.49","20600","20750","20400","51613","1062524400","326983540100","15834554"
"067290","JW신약","KOSDAQ","중견기업부","5010","90","1.83","4980","5070","4900","233897","1167618915","220123658580","43936858"
"001060","JW중외제약","KOSPI",,"30850","950","3.18","30100","30950","29850","118668","3610070150","664506717100","21539926"
"001067","JW중외제약2우B","KOSPI",,"61900","0","0.00","61800","62100","61800","213","13189200","5758433200","93028"
"001065","JW중외제약우","KOSPI",,"32500","300","0.93","32000","32550","31750","947","30263150","5768295000","177486"
"096760","JW홀딩스","KOSPI",,"5130","140","2.81","5000","5140","4985","188674","956781245","351103263660","68441182"
"035900","JYP Ent.","KOSDAQ","우량기업부","35150","150","0.43","35000","35400","34800","328527","11516707600","1247736843800","35497492"
"024840","KBI메탈","KOSDAQ","우량기업부","2250","-50","-2.17","2300","2315","2235","680687","1536882425","74139408000","32950848"
"105560","KB금융","KOSPI",,"50700","-500","-0.98","50800","51100","50100","1212602","61207092200","21081461544000","415807920"
"024120","KB오토시스","KOSDAQ","우량기업부","9940","-310","-3.02","10200","10350","9860","126497","1268172010","114310000000","11500000"
"002380","KCC","KOSPI",,"204000","-3000","-1.45","206500","207000","202500","23369","4757683000","1812840084000","8886471"
"021320","KCC건설","KOSDAQ","우량기업부","8490","-100","-1.16","8590","8600","8440","30415","258279510","181686000000","21400000"
"036670","KCI","KOSDAQ","우량기업부","9360","-50","-0.53","9410","9410","9280","22749","211975510","105487200000","11270000"
"009070","KCTC","KOSPI",,"7000","-450","-6.04","7420","7430","6920","2652941","18913955680","210000000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"4440","50","1.14","4390","4440","4375","31835","140447555","99611311200","22434980"
"112190","KC산업","KONEX","일반기업부","2350","-10","-0.42","2495","2495","2160","21024","45457465","16744344550","7125253"
"119650","KC코트렐","KOSPI",,"8340","110","1.34","8240","8380","8130","144501","1203200320","108420000000","13000000"
"044180","KD","KOSDAQ","투자주의환기종목(소속부없음)","1070","-95","-8.15","1185","1190","1050","2169018","2379621940","17682135200","16525360"
"092220","KEC","KOSPI",,"2305","-40","-1.71","2345","2350","2285","1473030","3397410600","269009496700","116706940"
"151860","KG ETS","KOSDAQ","우량기업부","6000","-10","-0.17","6030","6090","5980","287133","1729145680","216000000000","36000000"
"016380","KG동부제철","KOSPI",,"12850","0","0.00","12800","13000","12650","169259","2168990500","1285114326450","100008897"
"016385","KG동부제철우","KOSPI",,"112500","-3000","-2.60","115500","115500","112500","288","32767500","6005812500","53385"
"046440","KG모빌리언스","KOSDAQ","우량기업부","10000","0","0.00","10050","10150","9930","329119","3298902510","388255680000","38825568"
"035600","KG이니시스","KOSDAQ","우량기업부","19400","100","0.52","19200","19400","19000","119006","2286206200","541346019600","27904434"
"001390","KG케미칼","KOSPI",,"25800","-150","-0.58","26050","26100","25500","102678","2644158300","357745276800","13866096"
"060720","KH바텍","KOSDAQ","중견기업부","20800","750","3.74","19950","20950","19950","511330","10519978200","492417182400","23673903"
"001940","KISCO홀딩스","KOSPI",,"15350","50","0.33","15300","15450","15250","34042","521117150","283612433000","18476380"
"122450","KMH","KOSDAQ","중견기업부","14700","1600","12.21","12950","14950","12950","2464525","34806879500","333219335400","22667982"
"052900","KMH하이텍","KOSDAQ","중견기업부","2165","-35","-1.59","2225","2290","2145","9645717","21465004080","101507105335","46885499"
"058400","KNN","KOSDAQ","우량기업부","1745","20","1.16","1725","1760","1705","625444","1085326040","231089861400","132429720"
