"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 03월 04일","2,000.0","1,994.0","2,009.1","1,986.8","-","0.33%"
"2016년 03월 03일","1,993.4","1,985.6","1,993.7","1,977.4","-","0.35%"
"2016년 03월 02일","1,986.4","1,976.6","1,986.5","1,968.8","-","0.41%"
"2016년 03월 01일","1,978.3","1,937.1","1,978.3","1,937.1","-","2.39%"
"2016년 02월 29일","1,932.2","1,947.1","1,958.3","1,931.8","-","-0.81%"
"2016년 02월 26일","1,948.1","1,954.9","1,963.0","1,945.8","-","-0.19%"
"2016년 02월 25일","1,951.7","1,931.9","1,951.8","1,925.4","-","1.13%"
"2016년 02월 24일","1,929.8","1,917.6","1,932.1","1,891.0","-","0.44%"
"2016년 02월 23일","1,921.3","1,942.4","1,942.4","1,919.4","-","-1.25%"
"2016년 02월 22일","1,945.5","1,924.4","1,946.7","1,924.4","-","1.45%"
"2016년 02월 19일","1,917.8","1,916.7","1,918.8","1,902.2","-","0.00%"
"2016년 02월 18일","1,917.8","1,927.6","1,930.0","1,915.1","-","-0.47%"
"2016년 02월 17일","1,926.8","1,898.8","1,930.7","1,898.8","-","1.65%"
"2016년 02월 16일","1,895.6","1,871.4","1,895.8","1,871.4","-","0.65%"
"2016년 02월 15일","1,883.3","1,869.4","1,890.0","1,868.0","-","0.74%"
"2016년 02월 14일","1,869.5","1,865.8","1,871.0","1,865.3","-","0.25%"
"2016년 02월 12일","1,864.8","1,833.4","1,864.8","1,833.4","-","1.95%"
"2016년 02월 11일","1,829.1","1,847.0","1,847.0","1,810.1","-","-1.23%"
"2016년 02월 10일","1,851.9","1,857.1","1,881.6","1,850.3","-","-0.02%"
"2016년 02월 09일","1,852.2","1,848.5","1,868.3","1,834.9","-","-0.07%"
"2016년 02월 08일","1,853.4","1,873.3","1,873.3","1,828.5","-","-1.42%"
"2016년 02월 05일","1,880.1","1,913.1","1,913.1","1,872.7","-","-1.85%"
"2016년 02월 04일","1,915.4","1,911.7","1,927.3","1,900.5","-","0.15%"
"2016년 02월 03일","1,912.5","1,907.1","1,918.0","1,872.2","-","0.50%"
"2016년 02월 02일","1,903.0","1,935.3","1,935.3","1,897.3","-","-1.87%"
"2016년 02월 01일","1,939.4","1,936.9","1,947.2","1,920.3","-","-0.04%"
"2016년 01월 29일","1,940.2","1,894.0","1,940.2","1,894.0","-","2.48%"
"2016년 01월 28일","1,893.4","1,885.2","1,903.0","1,873.7","-","0.55%"
"2016년 01월 27일","1,882.9","1,902.5","1,917.0","1,872.7","-","-1.09%"
"2016년 01월 26일","1,903.6","1,878.8","1,906.7","1,878.8","-","1.41%"
"2016년 01월 25일","1,877.1","1,906.3","1,906.3","1,876.0","-","-1.56%"
"2016년 01월 22일","1,906.9","1,877.4","1,908.8","1,877.4","-","2.03%"
"2016년 01월 21일","1,869.0","1,861.5","1,889.8","1,849.0","-","0.52%"
"2016년 01월 20일","1,859.3","1,876.2","1,876.2","1,812.3","-","-1.17%"
"2016년 01월 19일","1,881.3","1,888.7","1,901.4","1,864.6","-","0.38%"
"2016년 01월 18일","1,874.3","1,869.0","1,890.0","1,865.8","-","0.29%"
"2016년 01월 17일","1,868.9","1,869.8","1,873.0","1,860.0","-","-0.61%"
"2016년 01월 15일","1,880.3","1,916.7","1,916.7","1,857.8","-","-2.16%"
"2016년 01월 14일","1,921.8","1,891.7","1,934.5","1,878.9","-","1.67%"
"2016년 01월 13일","1,890.3","1,940.3","1,950.3","1,886.4","-","-2.50%"
"2016년 01월 12일","1,938.7","1,927.8","1,947.4","1,914.3","-","0.78%"
"2016년 01월 11일","1,923.7","1,926.1","1,935.7","1,901.1","-","0.09%"
"2016년 01월 08일","1,922.0","1,946.0","1,960.4","1,918.5","-","-1.08%"
"2016년 01월 07일","1,943.1","1,985.3","1,985.3","1,938.8","-","-2.37%"
"2016년 01월 06일","1,990.3","2,011.7","2,011.7","1,979.1","-","-1.31%"
"2016년 01월 05일","2,016.7","2,013.8","2,021.9","2,004.2","-","0.20%"
"2016년 01월 04일","2,012.7","2,038.2","2,038.2","1,989.7","-","-1.53%"
"2015년 12월 31일","2,043.9","2,060.6","2,062.5","2,043.6","-","-0.94%"
"2015년 12월 30일","2,063.4","2,077.3","2,077.3","2,062.0","-","-0.72%"
"2015년 12월 29일","2,078.4","2,060.5","2,081.6","2,060.5","-","1.06%"
"2015년 12월 28일","2,056.5","2,057.8","2,057.8","2,044.2","-","-0.22%"
"2015년 12월 24일","2,061.0","2,063.5","2,067.4","2,058.7","-","-0.16%"
"2015년 12월 23일","2,064.3","2,042.2","2,064.7","2,042.2","-","1.24%"
"2015년 12월 22일","2,039.0","2,023.2","2,042.7","2,020.5","-","0.88%"
"2015년 12월 21일","2,021.2","2,010.3","2,022.9","2,005.9","-","0.78%"
"2015년 12월 18일","2,005.6","2,040.8","2,040.8","2,005.3","-","-1.78%"
"2015년 12월 17일","2,041.9","2,073.8","2,076.4","2,041.7","-","-1.50%"
"2015년 12월 16일","2,073.1","2,046.5","2,076.7","2,042.4","-","1.45%"
"2015년 12월 15일","2,043.4","2,025.6","2,053.9","2,025.6","-","1.06%"
"2015년 12월 14일","2,021.9","2,013.4","2,022.9","1,993.3","-","0.48%"
"2015년 12월 11일","2,012.4","2,047.3","2,047.3","2,008.8","-","-1.94%"
"2015년 12월 10일","2,052.2","2,047.9","2,067.6","2,045.7","-","0.23%"
"2015년 12월 09일","2,047.6","2,061.2","2,080.3","2,036.5","-","-0.77%"
"2015년 12월 08일","2,063.6","2,073.4","2,073.9","2,052.3","-","-0.65%"
